OrderID,DateTime,CustomerName,PhoneNumber,TableNumber,ItemName,Category,Quantity,UnitPrice,Subtotal,DiscountRate,Tax,GrandTotal
1001,2026-04-26 23:33:27,Santhosh R,"9150278281",3,Masala Dosa,Food,2,120.00,240.00,10%,86.40,1814.40
1001,2026-04-26 23:33:27,Santhosh R,"9150278281",3,Chicken Biryani,Food,2,280.00,560.00,10%,86.40,1814.40
1001,2026-04-26 23:33:27,Santhosh R,"9150278281",3,Butter Chicken,Food,2,300.00,600.00,10%,86.40,1814.40
1001,2026-04-26 23:33:27,Santhosh R,"9150278281",3,Fish Curry,Food,2,260.00,520.00,10%,86.40,1814.40
1002,2026-04-26 23:33:52,sanjai,"1234567890",4,Palak Paneer,Food,2,200.00,400.00,10%,95.40,2003.40
1002,2026-04-26 23:33:52,sanjai,"1234567890",4,Chicken Biryani,Food,4,280.00,1120.00,10%,95.40,2003.40
1002,2026-04-26 23:33:52,sanjai,"1234567890",4,Butter Chicken,Food,2,300.00,600.00,10%,95.40,2003.40
1003,2026-04-27 10:24:45,max,"0987651234",7,Mango Lassi,Drink,4,80.00,320.00,10%,58.50,1228.50
1003,2026-04-27 10:24:45,max,"0987651234",7,Cold Coffee,Drink,2,90.00,180.00,10%,58.50,1228.50
1003,2026-04-27 10:24:45,max,"0987651234",7,Palak Paneer,Food,4,200.00,800.00,10%,58.50,1228.50
1004,2026-04-27 10:53:24,Emma,"8905675431",7,Masala Chai,Drink,2,40.00,80.00,10%,87.30,1833.30
1004,2026-04-27 10:53:24,Emma,"8905675431",7,Paneer Butter Masala,Food,2,220.00,440.00,10%,87.30,1833.30
1004,2026-04-27 10:53:24,Emma,"8905675431",7,Dal Tadka,Food,2,150.00,300.00,10%,87.30,1833.30
1004,2026-04-27 10:53:24,Emma,"8905675431",7,Veg Biryani,Food,2,180.00,360.00,10%,87.30,1833.30
1004,2026-04-27 10:53:24,Emma,"8905675431",7,Aloo Paratha (2 pcs),Food,2,100.00,200.00,10%,87.30,1833.30
1004,2026-04-27 10:53:24,Emma,"8905675431",7,Chicken Biryani,Food,2,280.00,560.00,10%,87.30,1833.30
